#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Clostridium_XI	1	0	63	7	1	0	2	7	3	0	1	0	1	7	0	3	7	0	158	0	0	0	2	0	0	0	100	0	2	0	0	8	9	0	0	0	3	0	5	0	9	0	0	2	0	1	1	8	9	0	1	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	48	23	11	63	173	71	166	98	2	14	79	131	27	441	107	36	69	1	7	12	389	78	10	130	26	39	11	14	44	42	90	93	207	55	344	45	132	27	75	102	74	14	19	18	94	299	444	22	27	7	74	141
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Acetanaerobacterium	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	10	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerofilum	0	0	0	1	0	0	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	3	1	0	0	0	0	1	2	1	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Butyricicoccus	4	1	0	3	3	0	2	0	0	7	1	1	0	5	2	1	0	6	2	0	2	2	1	0	3	0	20	2	0	1	1	0	1	0	0	0	2	0	1	1	0	10	5	0	1	3	3	1	3	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Clostridium_IV	0	8	0	0	5	1	1	2	0	0	24	0	0	2	7	12	1	0	0	3	3	7	4	1	0	7	0	6	3	0	1	1	1	10	0	0	10	2	0	0	0	0	0	1	0	0	7	0	0	0	0	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Faecalibacterium	110	210	2	401	102	198	114	181	2	375	145	219	265	188	229	230	120	18	390	67	177	394	325	131	217	10	577	24	29	81	97	130	167	272	20	166	276	4	234	141	85	153	101	172	439	95	183	210	240	190	146	36
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Fastidiosipila	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Flavonifractor	25	7	0	33	100	31	41	8	0	4	25	47	9	34	44	14	28	0	5	13	123	24	4	122	2	0	43	7	3	6	55	47	61	5	104	11	31	24	23	18	23	5	5	26	51	106	81	8	2	2	27	214
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Gemmiger	46	27	0	29	14	10	33	12	0	8	16	24	14	39	18	21	14	0	19	10	9	34	5	13	3	8	1	6	0	13	6	47	14	0	8	6	37	2	92	12	18	6	12	7	16	5	29	28	6	5	5	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Hydrogenoanaerobacterium	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
